,Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,School Type
0,1,,,Termarr Johnson,2B,18.1,"5' 8""",175,L,R,Mays HS (GA),,50,High,"Johnson has the most electric bat speed in this draft, and presents a rare combination of present power and potential middle infield fit, while also being one of the younger prospects in the class. The stocky Johnson is short but not small, only 5-foot-8 but physical and explosive (especially in his lower half), and his swing bears a mechanical resemblance to Bryce Harper's, especially its finish. Johnson's size is actually an advantage for his swing, as he can enjoy a bat path geared for power and lift without it being too long. While especially adept at launching pitches on the inner third, Johnson also shows some ability to shorten up and cover the top of the strike zone. The outer edge of the plate is another matter. Most of his swings and misses over the last few years have been on fastballs running away from him, so while his short levers help him in one regard, they also impact his plate coverage in another. This may eventually require an adjustment. Johnson also has a tendency to expand the zone and make some sub-optimal contact, but there are times when he does this and impresses you with his ability to identify and adjust to hanging breaking balls, his barrel feel, and his hand-eye coordination. While currently an incomplete hitter, Johnson also does lots of really exciting stuff you can't teach. His ultimate defensive home is tough to project. He can make a lot of the routine shortstop plays and is likely to begin his pro career there, but his frame is already maxed out and he may end up physically developing in a manner akin to Chris Snelling or Willie Calhoun, which would hamper his ability to play any position later on. It's realistic to expect him to be a shift-enabled second baseman. Brandon Lowe's 2021 season is a great example of what the high-end outcome for a profile like Johnson's looks like, but if he can refine his approach, the ceiling on his hit tool (and overall output) is actually greater than that",,High School
1,2,,,Druw Jones,CF,18.6,"6' 2""",175,R,R,Wesleyan HS (GA),Vanderbilt,45+,High,"The ultra-projectable, athletic Jones puts on a surprising show in BP for someone who's less physically mature than the other top-of-the-class players, and his range and instincts in center field suggest he could be plus or better there at peak (he's also taken groundballs at shortstop). He was only a 50 runner by the fall of 2021, but that could be the result of fatigue. Offensively, Jones' swing causes some consternation because it currently has him totally unable to pull the ball during games. He works back through the box and to the right/center gap. His ability to impact the ball with power in that direction is impressive, but that Jones can only do that is a bit of a concern. He is both ultra-talented and extremely projectable, and therefore likely to go in the top half of the first round barring increased concerns surrounding his swing's efficacy",,High School
2,3,,,Jace Jung,2B,21.8,"6' 0""",200,L,L,Texas Tech,,45+,Med,"While he had a rough 2021 summer on Cape Cod, Jung has been among the NCAA's most dominant performers, posting a career .322/.457/.678 line at Texas Tech with 21 sophomore homers. He swing has a lefty Chuck Knoblauch style, and Jung has the strength to slug with his all-fields approach. He'll turn on pitches on the inner third, and serve stuff away from him into the opposite field gap for doubles. Jung has had a tendency to stride open and leave himself vulnerable on the outer third of the dish, but this might be fixable with a small tweak to his footwork. Jung is very comfortable around the second base bag, and turns the ball around quickly as the pivot man on double play attempts. He'll end up with 40-grade range, but his ability to operate around the bag gives him a good chance to stay at second. He could be a 30 homer second baseman",,4-Year
3,4,,,Chase DeLauter,RF,20.8,"6' 4""",230,L,L,James Madison,,45+,Med,"DeLauter's hit and power combination projects to the middle of a big league lineup. Though he's best at golfing out low pitches, he's also capable of taking pitches on the outer third deep to the opposite field, and he shows flashes of shortening up, ripping his top hand through, and impacting pitches near the top of the strike zone. Plus raw power weaponizes this advanced feel for contact, while DeLauter's on-paper performance (.386/.508/.723 as a red-shirt freshman at JMU, .298/.397/.589 on Cape Cod) reinforces that all of this is very real. Though he held his own playing center field on the Cape, DeLauter's home-to-first times (typically close to 4.3, a 40-grade time from the left side) indicate he and his plus arm will end up in right field. He's a top five 2022 draft prospect",,4-Year
4,5,,,Peyton Graham,3B,21.5,"6' 3""",180,R,R,Oklahoma,,45+,High,"Graham was a rail-thin shortstop at a smaller Texas high school, and is now a broad-shouldered third baseman at Oklahoma. He has great feel to hit, a gorgeous, athletic swing, and a chance to grow into power. His breaking ball recognition will need to improve, but Graham's combination of feel for contact and physical projection give him a bigger offensive ceiling than some of the stiffer, more physically mature college hitters. He can't make ""all the plays"" at shortstop (where he played a lot on the Cape), but he can make most of them, especially when he's moving from left to right, and in on the grass. Graham's footwork, hands, and actions (all plus) should enable a pro trial at short, but it's more likely he ends up as a great defensive third baseman",,4-Year
5,6,,,Brooks Lee,SS,21.4,"6' 2""",205,S,R,Cal Poly,,45+,High,"Our 36th-ranked draft prospect as a high schooler in 2019, Lee is a switch-hitting shortstop with above-average power, but both of his swings are grooved and he has pretty substantial hit tool risk as a result. Lee was a coveted prospect as a high schooler but his strong commitment to Cal Poly, where his dad coaches, and some general concerns about his physical longevity pushed the industry's assessment of him down, and he went to school. Knee and hamstring surgery effectively knocked him out for the entire 2020 season, then Lee hit .341/.384/.626 in 2021 and had a huge summer on Cape Cod, with six homers in 21 games. His arm strength and lightning-quick transfer are clean fits at shortstop, but there are reasonable questions about Lee's long-term athletic future because of his previous lower body injuries and the current state of his frame and flexibility. He's of softer build, though perhaps has some reverse projection in this regard, especially since he was coming off a year with little activity. It's imperative that Lee stay at shortstop because he's likely to have no better than a 40 hit tool. Switch-hitting shortstops with power, even if they strike out a lot, are pretty valuable, and they can be even as they slide down the defensive spectrum, à la Brad Miller. This is where Lee fits, though his conditioning is a variable that could alter industry perception if it changes over the winter",,4-Year
6,7,,,Elijah Green,CF,18.6,"6' 1""",185,R,R,IMG Academy (FL),Miami,45+,High,"The son of two-time Pro Bowl tight end Eric Green, Elijah is the 2022 draft's most famous high schooler thanks to the way he began his junior year, homering a couple times in high school tournaments held in big league parks, and looking much toolsier than all but a couple of the 2021 players. He was seen a ton as a junior because he played at IMG, where lots of draft prospects from this year's class played. Scouts were blown away by his power and speed, but swing and miss issues were also exposed. Green struck out in a third of his varsity at-bats in 2021, and swung and missed more than he put balls in play during the 2021 summer/fall showcase circuit (several other top high schoolers put two times as many balls in play as they swing and miss; James Triantos had a 7:1 ratio). He is as gifted as any player in this draft, a 70 runner with 70 future raw power, but Green also has a gigantic amount of hit-tool risk that seems likely to dilute his game power, and threatens to bust him entirely. He can only consistently make contact with pitches down and away from him, and fouled off or misses pitches in most of the rest of the strike zone. Still, Green's ceiling is as high as any player in this draft if his whiff issues are remedied, in which case he could be a 40-homer center fielder",,High School
7,8,,,Robert Moore,2B,20.3,"5' 9""",170,S,R,Arkansas,,45,Med,"Moore matriculated to Arkansas early and at just 20.3 years old, will be the youngest three-year college player in the draft as a result. He's a twitchy, compact-framed middle infield prospect with sneaky power, adept at ambushing hittable fastballs on the inner half of the plate. As a 19-year-old in the SEC, he yanked out 16 homers in 2021. Moore has played second base in deference to Razorbacks shortstop Jalen Battles but he probably deserves a shot to play short upon his initial entry to pro ball. He's a cleaner fit at second because of arm strength limitations, but he's rangy and athletic enough to be plus there. If Moore can't play shortstop at the big league level, he'll need to hit enough to be an everyday second baseman since utility guys who can't play short are rare. Given that Moore seems to know how he can best do damage despite limited raw power, he has a good chance to do just that",,4-Year
8,9,,,Gavin Cross,RF,21.4,"6' 3""",210,L,L,Virginia Tech,,45,Med,"The powerful Cross had a tremendous sophomore season at Tech, slugging .621. Based on sourced data, he had two of the top 25 hardest hit balls in NCAA baseball last year and gets to it without a lot of mechanical noise. While Cross has a rare blend of power and bat control, his breaking ball recognition is not good, and he swung and missed at them at a high rate. It's a flaw, but not enough to completely temper excitement around the heart-of-the-order power that Cross brings to the table. He had a truncated 2021 Cape, which would have been a place to quiet those concerns. It's likely ACC pitching will make an adjustment to Cross and feed him a steady diet of spin in 2022. How he responds to that will determine if he's in the top five mix versus toward the back of the first round",,4-Year
9,10,,,Brandon Barreira,SP,18.4,"6' 1""",170,L,L,American Heritage HS (FL),Vanderbilt,45,Med,"The ultra-advanced Barreira has one of the deeper, more polished repertoires in the high school class and he also has among the best present command. When you combine his terrific pitcher's frame and mechanical fluidity with his stuff quality and command, you can run wild projecting on just about everything Barreira already brings to the table. He can work his fastball on the corners or run it up the ladder, he can dump curveballs in for first-pitch strikes or use it, or his slider, as a chase pitch, and even though it's his fourth pitch, Barreira has feel for locating his changeup consistently. He projects to have plus command of four above-average or better pitches",,High School
